transaction_id,date,branch_id,employee_id,cashier_id,product_id,quantity,unit_price,discount_applied (%),discount_value,total_without_discount,total_after_discount,tax_amount,final_total_price,loyalty_points_earned,return_or_refund,transaction_type,customer_id,payment_method,payment_breakdown
TXN00016,2024-01-02 16:46:49,BR002,EMP047,EMP047,PROD016,5,3207.63,0,0.0,16038.15,16038.15,1202.86,17241.01,1724,No,Online,CUST0164,Online Payment,Online Payment: 17241.01
TXN00017,2023-05-05 01:16:50,BR008,EMP089,EMP089,PROD035,1,2407.42,0,0.0,2407.42,2407.42,180.56,2587.98,258,No,Online,CUST0110,Cash,Cash: 2587.98
TXN00018,2023-08-13 19:10:55,BR007,EMP039,EMP039,PROD043,2,4347.06,0,0.0,8694.12,8694.12,652.06,9346.18,934,No,Mobile,CUST0140,Online Payment,Online Payment: 9346.18
TXN00019,2024-03-08 05:30:38,BR001,EMP067,EMP067,PROD031,1,4856.91,5,242.85,4856.91,4614.06,346.05,4960.11,496,No,Online,CUST0192,Cash,Cash: 4960.11
TXN00020,2023-04-01 10:08:28,BR006,EMP027,EMP027,PROD047,2,3303.86,5,330.39,6607.72,6277.33,470.8,6748.13,674,No,Online,CUST0140,Card,Card: 6748.13
TXN00021,2023-06-23 22:38:15,BR008,EMP085,EMP085,PROD041,3,1902.79,0,0.0,5708.37,5708.37,428.13,6136.5,613,No,Online,CUST0010,Card,Card: 6136.5
TXN00022,2024-10-14 10:05:03,BR004,EMP017,EMP017,PROD021,5,215.15,15,161.36,1075.75,914.39,68.58,982.97,98,No,Mobile,CUST0122,Card,"Cash: 549.24, Card: 433.73"
TXN00023,2023-09-18 04:14:00,BR006,EMP002,EMP002,PROD042,6,4068.26,25,6102.39,24409.56,18307.17,1373.04,19680.21,1968,No,Online,CUST0112,Card,Card: 19680.21
TXN00024,2025-01-02 19:59:28,BR007,EMP069,EMP069,PROD012,8,3152.66,5,1261.06,25221.28,23960.22,1797.02,25757.24,2575,No,Mobile,CUST0069,Cash,Cash: 25757.24
TXN00025,2023-04-10 06:02:44,BR007,EMP039,EMP039,PROD035,5,2407.42,15,1805.57,12037.1,10231.53,767.37,10998.91,1099,No,Online,CUST0170,Card,Card: 10998.91
TXN00026,2024-05-21 00:25:15,BR007,EMP039,EMP039,PROD045,8,4874.01,20,7798.42,38992.08,31193.66,2339.52,33533.18,3353,No,Mobile,CUST0091,Online Payment,Online Payment: 33533.18
TXN00027,2023-09-09 04:49:21,BR001,EMP025,EMP025,PROD043,7,4347.06,0,0.0,30429.42,30429.42,2282.21,32711.63,3271,No,Mobile,CUST0174,Cash,Cash: 32711.63
TXN00028,2023-05-29 20:20:30,BR008,EMP006,EMP006,PROD009,2,1961.09,0,0.0,3922.18,3922.18,294.16,4216.34,421,No,Online,CUST0093,Card,Card: 4216.34
TXN00029,2023-03-05 02:26:45,BR003,EMP088,EMP088,PROD029,6,3097.48,15,2787.73,18584.88,15797.15,1184.79,16981.94,1698,No,In-store,CUST0147,Cash,Cash: 16981.94
TXN00030,2023-12-14 02:37:55,BR006,EMP081,EMP081,PROD018,4,1826.85,0,0.0,7307.4,7307.4,548.05,7855.45,785,No,In-store,CUST0128,Online Payment,Online Payment: 7855.45
TXN00031,2024-04-19 05:04:40,BR002,EMP047,EMP047,PROD050,5,613.4,25,766.75,3067.0,2300.25,172.52,2472.77,247,No,Mobile,CUST0074,Online Payment,Online Payment: 2472.77
TXN00032,2024-02-24 11:22:30,BR004,EMP017,EMP017,PROD009,2,1961.09,5,196.11,3922.18,3726.07,279.46,4005.53,400,No,Mobile,CUST0114,Cash,Cash: 4005.53
TXN00033,2024-11-25 16:23:51,BR006,EMP081,EMP081,PROD023,2,3745.47,5,374.55,7490.94,7116.39,533.73,7650.12,765,No,In-store,CUST0183,Online Payment,Online Payment: 7650.12
TXN00034,2024-06-17 06:19:47,BR003,EMP086,EMP086,PROD033,4,4938.26,0,0.0,19753.04,19753.04,1481.48,21234.52,2123,No,In-store,CUST0061,Card,"Cash: 11076.11, Card: 10158.41"
TXN00035,2023-11-21 11:44:32,BR008,EMP089,EMP089,PROD009,10,1961.09,0,0.0,19610.9,19610.9,1470.82,21081.72,2108,No,Online,CUST0184,Online Payment,Online Payment: 21081.72
TXN00036,2023-12-24 00:30:56,BR007,EMP039,EMP039,PROD009,6,1961.09,0,0.0,11766.54,11766.54,882.49,12649.03,1264,No,Mobile,CUST0133,Card,Card: 12649.03
TXN00037,2024-11-12 21:25:16,BR003,EMP023,EMP023,PROD028,9,721.54,0,0.0,6493.86,6493.86,487.04,6980.9,698,No,Mobile,CUST0040,Card,Card: 6980.9
TXN00038,2023-10-16 13:34:19,BR004,EMP044,EMP044,PROD034,5,2964.82,0,0.0,14824.1,14824.1,1111.81,15935.91,1593,No,Mobile,CUST0142,Card,Card: 15935.91
TXN00039,2023-10-01 03:47:58,BR002,EMP094,EMP094,PROD042,3,4068.26,0,0.0,12204.78,12204.78,915.36,13120.14,1312,No,Mobile,CUST0185,Online Payment,Online Payment: 13120.14
TXN00040,2025-01-25 14:02:17,BR001,EMP096,EMP096,PROD002,2,3145.77,0,0.0,6291.54,6291.54,471.87,6763.41,676,No,Mobile,CUST0068,Online Payment,Online Payment: 6763.41
TXN00041,2024-04-27 08:09:00,BR007,EMP039,EMP039,PROD032,9,4074.61,20,7334.3,36671.49,29337.19,2200.29,31537.48,3153,No,Online,CUST0124,Cash,Cash: 31537.48
TXN00042,2024-07-23 23:53:40,BR007,EMP069,EMP069,PROD030,2,4905.59,0,0.0,9811.18,9811.18,735.84,10547.02,1054,No,Online,CUST0124,Card,Card: 10547.02
TXN00043,2024-05-24 03:42:24,BR003,EMP086,EMP086,PROD046,6,193.32,10,115.99,1159.92,1043.93,78.29,1122.22,112,No,In-store,CUST0195,Card,Card: 1122.22
TXN00044,2023-05-01 10:09:06,BR006,EMP027,EMP027,PROD030,2,4905.59,10,981.12,9811.18,8830.06,662.25,9492.31,949,No,In-store,CUST0025,Cash,Cash: 9492.31
TXN00045,2023-12-03 07:48:41,BR007,EMP039,EMP039,PROD011,6,1725.88,25,2588.82,10355.28,7766.46,582.48,8348.94,834,No,In-store,CUST0128,Online Payment,Online Payment: 8348.94
TXN00046,2024-12-21 17:53:52,BR005,EMP046,EMP046,PROD002,2,3145.77,10,629.15,6291.54,5662.39,424.68,6087.07,608,No,In-store,CUST0056,Online Payment,Online Payment: 6087.07
TXN00047,2023-03-19 04:52:52,BR005,EMP046,EMP046,PROD039,8,3046.86,20,4874.98,24374.88,19499.9,1462.49,20962.39,2096,No,In-store,CUST0111,Cash,Cash: 20962.39
TXN00048,2024-08-26 00:28:22,BR006,EMP068,EMP068,PROD024,1,4837.99,0,0.0,4837.99,4837.99,362.85,5200.84,520,No,Mobile,CUST0050,Card,Card: 5200.84
TXN00049,2023-04-06 01:28:15,BR007,EMP069,EMP069,PROD049,9,3386.15,15,4571.3,30475.35,25904.05,1942.8,27846.85,2784,No,Mobile,CUST0175,Online Payment,Online Payment: 27846.85
TXN00050,2023-04-24 01:00:47,BR007,EMP069,EMP069,PROD022,9,4388.48,10,3949.63,39496.32,35546.69,2666.0,38212.69,3821,No,In-store,CUST0155,Online Payment,Online Payment: 38212.69
TXN00051,2023-03-11 05:08:44,BR001,EMP025,EMP025,PROD009,6,1961.09,5,588.33,11766.54,11178.21,838.37,12016.58,1201,No,In-store,CUST0156,Online Payment,Online Payment: 12016.58
TXN00052,2025-01-31 08:42:40,BR006,EMP027,EMP027,PROD026,10,3116.76,5,1558.38,31167.6,29609.22,2220.69,31829.91,3182,No,Mobile,CUST0131,Online Payment,Online Payment: 31829.91
TXN00053,2024-04-20 04:24:30,BR005,EMP046,EMP046,PROD002,6,3145.77,10,1887.46,18874.62,16987.16,1274.04,18261.2,1826,No,Online,CUST0150,Card,Card: 18261.2
TXN00054,2024-08-24 07:45:46,BR001,EMP090,EMP090,PROD031,5,4856.91,0,0.0,24284.55,24284.55,1821.34,26105.89,2610,No,Mobile,CUST0123,Cash,Cash: 26105.89
TXN00055,2024-08-21 02:33:43,BR007,EMP039,EMP039,PROD044,4,1160.01,0,0.0,4640.04,4640.04,348.0,4988.04,498,No,Mobile,CUST0029,Cash,"Cash: 2122.3, Card: 2865.74"
TXN00056,2023-06-05 13:37:22,BR007,EMP039,EMP039,PROD027,9,4551.47,0,0.0,40963.23,40963.23,3072.24,44035.47,4403,No,Mobile,CUST0187,Cash,Cash: 44035.47
TXN00057,2024-03-16 19:41:44,BR004,EMP082,EMP082,PROD021,8,215.15,15,258.18,1721.2,1463.02,109.73,1572.75,157,No,In-store,CUST0118,Online Payment,Online Payment: 1572.75
TXN00058,2023-11-10 03:07:40,BR005,EMP061,EMP061,PROD031,4,4856.91,0,0.0,19427.64,19427.64,1457.07,20884.71,2088,No,Online,CUST0058,Card,Card: 20884.71
TXN00059,2024-08-08 11:02:44,BR004,EMP057,EMP057,PROD021,8,215.15,15,258.18,1721.2,1463.02,109.73,1572.75,157,No,Mobile,CUST0071,Card,Card: 1572.75
TXN00060,2024-07-17 11:53:33,BR007,EMP069,EMP069,PROD023,3,3745.47,5,561.82,11236.41,10674.59,800.59,11475.18,1147,No,Mobile,CUST0021,Card,Card: 11475.18
TXN00061,2024-07-01 10:56:42,BR005,EMP061,EMP061,PROD031,4,4856.91,0,0.0,19427.64,19427.64,1457.07,20884.71,2088,No,Online,CUST0144,Online Payment,Online Payment: 20884.71
TXN00062,2023-05-03 18:52:14,BR004,EMP019,EMP019,PROD004,9,2334.17,0,0.0,21007.53,21007.53,1575.56,22583.09,2258,No,In-store,CUST0026,Card,Card: 22583.09
TXN00063,2024-02-09 20:59:12,BR002,EMP018,EMP018,PROD001,9,4133.39,0,0.0,37200.51,37200.51,2790.04,39990.55,3999,No,Online,CUST0123,Online Payment,Online Payment: 39990.55
TXN00064,2023-09-19 01:22:31,BR006,EMP054,EMP054,PROD042,1,4068.26,0,0.0,4068.26,4068.26,305.12,4373.38,437,No,In-store,CUST0137,Online Payment,Online Payment: 4373.38
TXN00065,2025-02-04 11:31:21,BR001,EMP038,EMP038,PROD027,3,4551.47,0,0.0,13654.41,13654.41,1024.08,14678.49,1467,No,Online,CUST0127,Cash,Cash: 14678.49
TXN00066,2024-12-16 11:24:59,BR005,EMP035,EMP035,PROD001,5,4133.39,0,0.0,20666.95,20666.95,1550.02,22216.97,2221,No,Online,CUST0073,Card,Card: 22216.97
TXN00067,2024-04-04 22:35:41,BR008,EMP026,EMP026,PROD033,8,4938.26,0,0.0,39506.08,39506.08,2962.96,42469.04,4246,No,In-store,CUST0085,Cash,Cash: 42469.04
TXN00068,2024-06-25 11:39:15,BR005,EMP061,EMP061,PROD012,1,3152.66,5,157.63,3152.66,2995.03,224.63,3219.66,321,No,Mobile,CUST0173,Cash,Cash: 3219.66
TXN00069,2024-12-03 22:28:02,BR007,EMP069,EMP069,PROD033,6,4938.26,0,0.0,29629.56,29629.56,2222.22,31851.78,3185,No,In-store,CUST0048,Cash,Cash: 31851.78
TXN00070,2025-02-03 19:47:21,BR004,EMP017,EMP017,PROD017,7,4938.88,0,0.0,34572.16,34572.16,2592.91,37165.07,3716,No,Online,CUST0085,Card,Card: 37165.07
TXN00071,2024-04-27 21:56:51,BR001,EMP063,EMP063,PROD042,6,4068.26,0,0.0,24409.56,24409.56,1830.72,26240.28,2624,No,In-store,CUST0120,Card,Card: 26240.28
TXN00072,2024-07-24 20:04:44,BR005,EMP061,EMP061,PROD008,5,2303.96,15,1727.97,11519.8,9791.83,734.39,10526.22,1052,No,In-store,CUST0035,Card,Card: 10526.22
TXN00073,2024-09-10 17:31:38,BR006,EMP068,EMP068,PROD045,9,4874.01,20,8773.22,43866.09,35092.87,2631.97,37724.84,3772,No,Mobile,CUST0056,Cash,Cash: 37724.84
TXN00074,2024-05-15 17:31:34,BR002,EMP094,EMP094,PROD029,9,3097.48,15,4181.6,27877.32,23695.72,1777.18,25472.9,2547,No,Mobile,CUST0029,Cash,Cash: 25472.9
TXN00075,2025-01-09 05:47:41,BR004,EMP082,EMP082,PROD035,3,2407.42,0,0.0,7222.26,7222.26,541.67,7763.93,776,No,Mobile,CUST0114,Cash,Cash: 7763.93
TXN00076,2024-08-17 19:03:33,BR008,EMP006,EMP006,PROD033,8,4938.26,0,0.0,39506.08,39506.08,2962.96,42469.04,4246,No,Mobile,CUST0107,Card,Card: 42469.04
TXN00077,2024-04-16 23:28:28,BR008,EMP036,EMP036,PROD047,1,3303.86,5,165.19,3303.86,3138.67,235.4,3374.07,337,No,In-store,CUST0191,Cash,Cash: 3374.07
TXN00078,2023-03-15 03:00:10,BR007,EMP069,EMP069,PROD045,2,4874.01,0,0.0,9748.02,9748.02,731.1,10479.12,1047,No,In-store,CUST0121,Cash,Cash: 10479.12
TXN00079,2023-06-27 17:50:05,BR003,EMP088,EMP088,PROD047,7,3303.86,5,1156.35,23127.02,21970.67,1647.8,23618.47,2361,No,Online,CUST0115,Card,Card: 23618.47
TXN00080,2024-07-22 05:45:21,BR003,EMP088,EMP088,PROD023,2,3745.47,0,0.0,7490.94,7490.94,561.82,8052.76,805,No,Online,CUST0136,Cash,Cash: 8052.76
TXN00081,2023-07-30 21:59:10,BR001,EMP096,EMP096,PROD002,5,3145.77,10,1572.89,15728.85,14155.97,1061.7,15217.67,1521,No,Mobile,CUST0109,Online Payment,Online Payment: 15217.67
TXN00082,2023-08-05 07:59:17,BR004,EMP057,EMP057,PROD023,3,3745.47,5,561.82,11236.41,10674.59,800.59,11475.18,1147,No,Mobile,CUST0196,Cash,"Cash: 6472.91, Card: 5002.27"
TXN00083,2024-05-30 13:44:20,BR001,EMP038,EMP038,PROD014,2,1502.17,0,0.0,3004.34,3004.34,225.33,3229.67,322,No,Online,CUST0154,Online Payment,Online Payment: 3229.67
TXN00084,2023-03-17 18:07:55,BR004,EMP017,EMP017,PROD026,8,3116.76,0,0.0,24934.08,24934.08,1870.06,26804.14,2680,No,In-store,CUST0036,Online Payment,Online Payment: 26804.14
TXN00085,2023-08-08 19:49:36,BR006,EMP070,EMP070,PROD039,6,3046.86,0,0.0,18281.16,18281.16,1371.09,19652.25,1965,No,In-store,CUST0170,Online Payment,Online Payment: 19652.25
TXN00086,2023-09-29 08:29:00,BR005,EMP035,EMP035,PROD036,10,3649.85,0,0.0,36498.5,36498.5,2737.39,39235.89,3923,No,Online,CUST0143,Card,"Cash: 17176.14, Card: 22059.75"
TXN00087,2024-06-21 15:01:13,BR007,EMP069,EMP069,PROD045,7,4874.01,20,6823.61,34118.07,27294.46,2047.08,29341.54,2934,No,Online,CUST0048,Online Payment,Online Payment: 29341.54
TXN00088,2024-11-28 15:36:08,BR004,EMP044,EMP044,PROD046,3,193.32,10,58.0,579.96,521.96,39.15,561.11,56,No,Mobile,CUST0106,Card,Card: 561.11
TXN00089,2023-05-23 02:24:35,BR007,EMP039,EMP039,PROD017,4,4938.88,10,1975.55,19755.52,17779.97,1333.5,19113.47,1911,No,Online,CUST0095,Cash,Cash: 19113.47
TXN00090,2024-11-13 03:59:36,BR004,EMP017,EMP017,PROD018,7,1826.85,0,0.0,12787.95,12787.95,959.1,13747.05,1374,No,In-store,CUST0195,Online Payment,Online Payment: 13747.05
TXN00091,2024-04-17 00:28:03,BR004,EMP057,EMP057,PROD014,6,1502.17,15,1351.95,9013.02,7661.07,574.58,8235.65,823,No,In-store,CUST0055,Cash,Cash: 8235.65
TXN00092,2023-05-10 01:40:19,BR008,EMP026,EMP026,PROD045,10,4874.01,0,0.0,48740.1,48740.1,3655.51,52395.61,5239,No,In-store,CUST0142,Card,Card: 52395.61
TXN00093,2023-11-30 14:47:20,BR008,EMP089,EMP089,PROD042,6,4068.26,25,6102.39,24409.56,18307.17,1373.04,19680.21,1968,No,Mobile,CUST0128,Card,"Cash: 13629.08, Card: 6051.13"
TXN00094,2024-02-07 14:40:31,BR006,EMP027,EMP027,PROD024,6,4837.99,0,0.0,29027.94,29027.94,2177.1,31205.04,3120,No,In-store,CUST0190,Cash,"Cash: 16267.96, Card: 14937.08"
TXN00095,2024-05-06 13:53:00,BR007,EMP069,EMP069,PROD010,4,543.57,25,543.57,2174.28,1630.71,122.3,1753.01,175,No,Mobile,CUST0063,Card,Card: 1753.01
TXN00096,2024-07-23 21:12:21,BR006,EMP054,EMP054,PROD049,8,3386.15,15,4063.38,27089.2,23025.82,1726.94,24752.76,2475,No,Mobile,CUST0091,Cash,Cash: 24752.76
TXN00097,2024-04-07 11:06:06,BR008,EMP026,EMP026,PROD035,1,2407.42,0,0.0,2407.42,2407.42,180.56,2587.98,258,No,In-store,CUST0172,Cash,Cash: 2587.98
TXN00098,2023-12-25 06:17:16,BR003,EMP088,EMP088,PROD015,2,916.59,0,0.0,1833.18,1833.18,137.49,1970.67,197,Yes,Mobile,CUST0117,Card,"Cash: 1093.9, Card: 876.77"
TXN00099,2025-02-02 07:58:00,BR008,EMP085,EMP085,PROD002,1,3145.77,10,314.58,3145.77,2831.19,212.34,3043.53,304,Yes,Mobile,CUST0185,Card,Card: 3043.53
TXN00100,2023-09-18 15:00:05,BR001,EMP090,EMP090,PROD045,7,4874.01,0,0.0,34118.07,34118.07,2558.86,36676.93,3667,No,In-store,CUST0135,Cash,Cash: 36676.93
TXN00101,2024-06-03 08:17:31,BR005,EMP046,EMP046,PROD018,7,1826.85,0,0.0,12787.95,12787.95,959.1,13747.05,1374,No,Online,CUST0118,Online Payment,Online Payment: 13747.05
TXN00102,2024-08-02 12:10:00,BR004,EMP044,EMP044,PROD044,2,1160.01,0,0.0,2320.02,2320.02,174.0,2494.02,249,No,Online,CUST0097,Online Payment,Online Payment: 2494.02
TXN00103,2024-06-16 12:35:03,BR001,EMP091,EMP091,PROD011,2,1725.88,25,862.94,3451.76,2588.82,194.16,2782.98,278,No,Mobile,CUST0085,Online Payment,Online Payment: 2782.98
TXN00104,2023-04-23 00:24:47,BR001,EMP038,EMP038,PROD014,10,1502.17,15,2253.26,15021.7,12768.44,957.63,13726.07,1372,No,In-store,CUST0176,Card,Card: 13726.07
TXN00105,2024-04-20 15:19:29,BR001,EMP038,EMP038,PROD021,1,215.15,0,0.0,215.15,215.15,16.14,231.29,23,No,Mobile,CUST0102,Cash,Cash: 231.29
TXN00106,2024-04-20 23:40:57,BR004,EMP082,EMP082,PROD025,9,3380.5,10,3042.45,30424.5,27382.05,2053.65,29435.7,2943,No,Mobile,CUST0036,Online Payment,Online Payment: 29435.7
TXN00107,2024-03-02 22:11:42,BR006,EMP002,EMP002,PROD007,7,2920.62,0,0.0,20444.34,20444.34,1533.33,21977.67,2197,No,Online,CUST0155,Online Payment,Online Payment: 21977.67
TXN00108,2023-12-13 01:49:13,BR006,EMP002,EMP002,PROD041,5,1902.79,0,0.0,9513.95,9513.95,713.55,10227.5,1022,No,Online,CUST0142,Card,Card: 10227.5
TXN00109,2024-07-19 21:10:12,BR007,EMP039,EMP039,PROD050,10,613.4,25,1533.5,6134.0,4600.5,345.04,4945.54,494,No,Mobile,CUST0019,Cash,Cash: 4945.54
TXN00110,2023-11-30 02:27:10,BR003,EMP088,EMP088,PROD025,6,3380.5,10,2028.3,20283.0,18254.7,1369.1,19623.8,1962,No,In-store,CUST0079,Card,Card: 19623.8
TXN00111,2023-09-05 11:33:02,BR002,EMP018,EMP018,PROD006,3,4326.93,20,2596.16,12980.79,10384.63,778.85,11163.48,1116,No,Mobile,CUST0132,Card,Card: 11163.48
TXN00112,2023-04-18 13:21:21,BR006,EMP070,EMP070,PROD006,10,4326.93,20,8653.86,43269.3,34615.44,2596.16,37211.6,3721,No,In-store,CUST0075,Card,Card: 37211.6
TXN00113,2023-04-14 17:39:11,BR004,EMP082,EMP082,PROD034,3,2964.82,25,2223.62,8894.46,6670.85,500.31,7171.16,717,No,Online,CUST0078,Card,Card: 7171.16
TXN00114,2023-03-29 02:07:29,BR003,EMP086,EMP086,PROD018,7,1826.85,25,3196.99,12787.95,9590.96,719.32,10310.28,1031,No,In-store,CUST0093,Card,Card: 10310.28
TXN00115,2024-08-20 21:16:46,BR008,EMP089,EMP089,PROD040,4,2098.38,0,0.0,8393.52,8393.52,629.51,9023.03,902,No,Online,CUST0002,Card,Card: 9023.03
TXN00116,2024-06-03 15:57:36,BR007,EMP069,EMP069,PROD029,6,3097.48,15,2787.73,18584.88,15797.15,1184.79,16981.94,1698,No,Mobile,CUST0153,Cash,Cash: 16981.94
TXN00117,2024-05-21 11:24:45,BR004,EMP057,EMP057,PROD021,3,215.15,15,96.82,645.45,548.63,41.15,589.78,58,No,Online,CUST0189,Online Payment,Online Payment: 589.78
TXN00118,2024-04-30 05:54:27,BR004,EMP044,EMP044,PROD025,5,3380.5,10,1690.25,16902.5,15212.25,1140.92,16353.17,1635,No,Mobile,CUST0052,Online Payment,Online Payment: 16353.17
TXN00119,2023-06-27 16:49:33,BR001,EMP091,EMP091,PROD030,4,4905.59,10,1962.24,19622.36,17660.12,1324.51,18984.63,1898,No,Mobile,CUST0018,Card,Card: 18984.63
TXN00120,2023-05-27 01:13:35,BR005,EMP035,EMP035,PROD017,3,4938.88,10,1481.66,14816.64,13334.98,1000.12,14335.1,1433,No,In-store,CUST0115,Online Payment,Online Payment: 14335.1
TXN00121,2023-12-16 06:17:17,BR007,EMP039,EMP039,PROD024,9,4837.99,0,0.0,43541.91,43541.91,3265.64,46807.55,4680,No,In-store,CUST0169,Online Payment,Online Payment: 46807.55
TXN00122,2024-06-24 11:41:27,BR001,EMP090,EMP090,PROD042,7,4068.26,25,7119.45,28477.82,21358.36,1601.88,22960.24,2296,No,Online,CUST0028,Cash,"Cash: 8926.95, Card: 14033.29"
TXN00123,2024-09-10 01:05:21,BR004,EMP057,EMP057,PROD024,7,4837.99,0,0.0,33865.93,33865.93,2539.94,36405.87,3640,No,Mobile,CUST0177,Online Payment,Online Payment: 36405.87
TXN00124,2023-02-27 00:37:14,BR008,EMP006,EMP006,PROD019,7,4557.55,0,0.0,31902.85,31902.85,2392.71,34295.56,3429,No,Mobile,CUST0037,Card,Card: 34295.56
TXN00125,2024-01-27 14:45:18,BR004,EMP082,EMP082,PROD031,6,4856.91,5,1457.07,29141.46,27684.39,2076.33,29760.72,2976,No,Mobile,CUST0179,Card,Card: 29760.72
TXN00126,2023-09-29 04:04:04,BR001,EMP096,EMP096,PROD046,2,193.32,0,0.0,386.64,386.64,29.0,415.64,41,No,Mobile,CUST0028,Online Payment,Online Payment: 415.64
TXN00127,2025-01-30 05:45:01,BR004,EMP082,EMP082,PROD012,9,3152.66,0,0.0,28373.94,28373.94,2128.05,30501.99,3050,No,Online,CUST0119,Cash,Cash: 30501.99
TXN00128,2024-06-11 02:19:22,BR003,EMP023,EMP023,PROD041,7,1902.79,0,0.0,13319.53,13319.53,998.96,14318.49,1431,No,Mobile,CUST0051,Card,Card: 14318.49
TXN00129,2023-12-06 23:09:50,BR001,EMP091,EMP091,PROD014,4,1502.17,15,901.3,6008.68,5107.38,383.05,5490.43,549,No,In-store,CUST0148,Cash,Cash: 5490.43
TXN00130,2024-03-30 23:04:34,BR003,EMP086,EMP086,PROD021,4,215.15,15,129.09,860.6,731.51,54.86,786.37,78,No,Mobile,CUST0126,Online Payment,Online Payment: 786.37
TXN00131,2023-10-09 09:00:56,BR007,EMP069,EMP069,PROD038,2,674.65,10,134.93,1349.3,1214.37,91.08,1305.45,130,No,Online,CUST0159,Cash,Cash: 1305.45
TXN00132,2024-08-09 07:18:59,BR005,EMP061,EMP061,PROD038,2,674.65,0,0.0,1349.3,1349.3,101.2,1450.5,145,No,In-store,CUST0079,Cash,Cash: 1450.5
TXN00133,2024-07-30 13:20:01,BR003,EMP088,EMP088,PROD025,7,3380.5,0,0.0,23663.5,23663.5,1774.76,25438.26,2543,No,Online,CUST0048,Card,Card: 25438.26
TXN00134,2024-07-30 13:15:58,BR003,EMP088,EMP088,PROD011,8,1725.88,25,3451.76,13807.04,10355.28,776.65,11131.93,1113,No,Online,CUST0116,Online Payment,"Cash: 4938.3, Card: 6193.63"
TXN00135,2023-02-15 09:23:16,BR008,EMP026,EMP026,PROD013,7,3746.49,25,6556.36,26225.43,19669.07,1475.18,21144.25,2114,No,Online,CUST0107,Online Payment,Online Payment: 21144.25
TXN00136,2024-02-22 12:45:32,BR003,EMP023,EMP023,PROD037,1,4244.13,0,0.0,4244.13,4244.13,318.31,4562.44,456,No,Online,CUST0058,Online Payment,Online Payment: 4562.44
